Tract_name,id,total,,Hispanic or Latino,,White,,Black or African American,,American Indian and Alaska Native,,Asian,,Native Hawaiian and Other Pacific Islander,,Other Race,,Two or More Races,Non-White,Black or Hispanic
Census Tract 2434,2434,3001,1167,0.3888704,1496,0.4985005,194,0.0646451,5,0.0016661,85,0.0283239,0,0.0000000,3,0.0009997,51,0.0169943,0.5014995,0.4535155
Census Tract 2435,2435,2937,267,0.0909091,1990,0.6775621,390,0.1327886,6,0.0020429,201,0.0684372,3,0.0010215,12,0.0040858,68,0.0231529,0.3224379,0.2236977
Census Tract 2502,2502,2669,972,0.3641813,96,0.0359685,1552,0.5814912,7,0.0026227,22,0.0082428,2,0.0007493,8,0.0029974,10,0.0037467,0.9640315,0.9456725
Census Tract 2503,2503,4725,1024,0.2167196,82,0.0173545,3516,0.7441270,16,0.0033862,47,0.0099471,0,0.0000000,8,0.0016931,32,0.0067725,0.9826455,0.9608466
Census Tract 2504,2504,5887,779,0.1323255,104,0.0176660,4934,0.8381179,11,0.0018685,9,0.0015288,5,0.0008493,0,0.0000000,45,0.0076440,0.9823340,0.9704433
Census Tract 2505,2505,7538,1878,0.2491377,2951,0.3914832,2322,0.3080393,3,0.0003980,241,0.0319713,1,0.0001327,14,0.0018573,128,0.0169806,0.6085168,0.5571770
Census Tract 2506,2506,4422,337,0.0762099,53,0.0119855,3963,0.8962008,5,0.0011307,25,0.0056536,0,0.0000000,0,0.0000000,39,0.0088195,0.9880145,0.9724107
Census Tract 2507,2507,6098,348,0.0570679,41,0.0067235,5656,0.9275172,4,0.0006560,13,0.0021318,0,0.0000000,7,0.0011479,29,0.0047557,0.9932765,0.9845851
Census Tract 2508,2508,2488,393,0.1579582,14,0.0056270,2040,0.8199357,3,0.0012058,21,0.0084405,0,0.0000000,0,0.0000000,17,0.0068328,0.9943730,0.9778939
Census Tract 2510,2510,1181,100,0.0846740,13,0.0110076,1061,0.8983912,2,0.0016935,0,0.0000000,0,0.0000000,0,0.0000000,5,0.0042337,0.9889924,0.9830652
Census Tract 2511,2511,4302,215,0.0499768,25,0.0058113,4007,0.9314272,18,0.0041841,9,0.0020921,0,0.0000000,2,0.0004649,26,0.0060437,0.9941887,0.9814040
Census Tract 2512,2512,4196,276,0.0657769,33,0.0078646,3855,0.9187321,2,0.0004766,1,0.0002383,0,0.0000000,3,0.0007150,26,0.0061964,0.9921354,0.9845091
Census Tract 2513,2513,4921,252,0.0512091,53,0.0107702,4562,0.9270473,8,0.0016257,4,0.0008128,0,0.0000000,2,0.0004064,40,0.0081284,0.9892298,0.9782565
Census Tract 2514,2514,3983,140,0.0351494,163,0.0409239,3616,0.9078584,3,0.0007532,9,0.0022596,0,0.0000000,6,0.0015064,46,0.0115491,0.9590761,0.9430078
Census Tract 2515,2515,4784,107,0.0223662,70,0.0146321,4534,0.9477425,4,0.0008361,19,0.0039716,0,0.0000000,6,0.0012542,44,0.0091973,0.9853679,0.9701087
Census Tract 2516,2516,3649,135,0.0369964,26,0.0071252,3458,0.9476569,9,0.0024664,1,0.0002740,0,0.0000000,0,0.0000000,20,0.0054810,0.9928748,0.9846533
Census Tract 2517,2517,1495,145,0.0969900,14,0.0093645,1329,0.8889632,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,7,0.0046823,0.9906355,0.9859532
Census Tract 2518,2518,5112,91,0.0178013,15,0.0029343,4967,0.9716354,8,0.0015649,0,0.0000000,1,0.0001956,1,0.0001956,29,0.0056729,0.9970657,0.9894366
Census Tract 2519,2519,5731,137,0.0239051,76,0.0132612,5463,0.9532368,8,0.0013959,2,0.0003490,1,0.0001745,2,0.0003490,42,0.0073286,0.9867388,0.9771419
Census Tract 2520,2520,5719,103,0.0180101,84,0.0146879,5474,0.9571603,8,0.0013988,7,0.0012240,2,0.0003497,0,0.0000000,41,0.0071691,0.9853121,0.9751705
Census Tract 2521.01,2521.01,1370,20,0.0145985,26,0.0189781,1296,0.9459854,0,0.0000000,4,0.0029197,0,0.0000000,0,0.0000000,24,0.0175182,0.9810219,0.9605839
Census Tract 2521.02,2521.02,6438,42,0.0065238,27,0.0041938,6273,0.9743709,23,0.0035725,1,0.0001553,1,0.0001553,2,0.0003107,69,0.0107176,0.9958062,0.9808947
Census Tract 2522.01,2522.01,2953,37,0.0125296,56,0.0189638,2847,0.9641043,8,0.0027091,0,0.0000000,0,0.0000000,0,0.0000000,5,0.0016932,0.9810362,0.9766339
Census Tract 2522.02,2522.02,4609,61,0.0132350,25,0.0054242,4482,0.9724452,1,0.0002170,6,0.0013018,0,0.0000000,0,0.0000000,34,0.0073769,0.9945758,0.9856802
Census Tract 2601,2601,1248,49,0.0392628,17,0.0136218,1169,0.9366987,5,0.0040064,0,0.0000000,0,0.0000000,1,0.0008013,7,0.0056090,0.9863782,0.9759615
Census Tract 2602,2602,1136,26,0.0228873,17,0.0149648,1080,0.9507042,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,13,0.0114437,0.9850352,0.9735915
Census Tract 2603,2603,1564,37,0.0236573,5,0.0031969,1504,0.9616368,5,0.0031969,0,0.0000000,0,0.0000000,0,0.0000000,13,0.0083120,0.9968031,0.9852941
Census Tract 2604,2604,1271,51,0.0401259,2,0.0015736,1196,0.9409913,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,22,0.0173092,0.9984264,0.9811172
Census Tract 2605,2605,1934,12,0.0062048,10,0.0051706,1896,0.9803516,1,0.0005171,0,0.0000000,0,0.0000000,0,0.0000000,15,0.0077559,0.9948294,0.9865564
Census Tract 2606,2606,2478,38,0.0153349,21,0.0084746,2381,0.9608555,0,0.0000000,1,0.0004036,0,0.0000000,0,0.0000000,37,0.0149314,0.9915254,0.9761905
Census Tract 2607,2607,2032,21,0.0103346,15,0.0073819,1967,0.9680118,3,0.0014764,1,0.0004921,0,0.0000000,7,0.0034449,18,0.0088583,0.9926181,0.9783465
Census Tract 2608,2608,2539,60,0.0236314,30,0.0118157,2409,0.9487987,5,0.0019693,3,0.0011816,0,0.0000000,2,0.0007877,30,0.0118157,0.9881843,0.9724301
Census Tract 2609,2609,1480,28,0.0189189,13,0.0087838,1434,0.9689189,1,0.0006757,0,0.0000000,0,0.0000000,0,0.0000000,4,0.0027027,0.9912162,0.9878378
Census Tract 2610,2610,2319,26,0.0112117,3,0.0012937,2279,0.9827512,2,0.0008624,3,0.0012937,1,0.0004312,0,0.0000000,5,0.0021561,0.9987063,0.9939629
Census Tract 2705,2705,1689,41,0.0242747,5,0.0029603,1625,0.9621078,2,0.0011841,1,0.0005921,0,0.0000000,0,0.0000000,15,0.0088810,0.9970397,0.9863825
Census Tract 2712,2712,1170,31,0.0264957,36,0.0307692,1091,0.9324786,0,0.0000000,2,0.0017094,0,0.0000000,0,0.0000000,10,0.0085470,0.9692308,0.9589744
Census Tract 2713,2713,1045,22,0.0210526,9,0.0086124,1003,0.9598086,4,0.0038278,0,0.0000000,0,0.0000000,1,0.0009569,6,0.0057416,0.9913876,0.9808612
Census Tract 2714,2714,1527,27,0.0176817,38,0.0248854,1438,0.9417158,4,0.0026195,5,0.0032744,1,0.0006549,1,0.0006549,13,0.0085134,0.9751146,0.9593975
Census Tract 2715,2715,1397,28,0.0200429,14,0.0100215,1339,0.9584825,0,0.0000000,1,0.0007158,0,0.0000000,2,0.0014316,13,0.0093057,0.9899785,0.9785254
Census Tract 2718,2718,970,17,0.0175258,13,0.0134021,929,0.9577320,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,11,0.0113402,0.9865979,0.9752577
Census Tract 2801,2801,4872,255,0.0523399,3567,0.7321429,218,0.0447455,5,0.0010263,728,0.1494253,0,0.0000000,4,0.0008210,95,0.0194992,0.2678571,0.0970854
Census Tract 2804,2804,1366,67,0.0490483,97,0.0710102,1150,0.8418741,5,0.0036603,30,0.0219619,0,0.0000000,0,0.0000000,17,0.0124451,0.9289898,0.8909224
Census Tract 2808,2808,755,26,0.0344371,23,0.0304636,702,0.9298013,1,0.0013245,1,0.0013245,0,0.0000000,0,0.0000000,2,0.0026490,0.9695364,0.9642384
Census Tract 2809,2809,942,32,0.0339703,36,0.0382166,837,0.8885350,2,0.0021231,23,0.0244161,0,0.0000000,1,0.0010616,11,0.0116773,0.9617834,0.9225053
Census Tract 2819,2819,4844,287,0.0592486,2515,0.5191990,378,0.0780347,11,0.0022709,1450,0.2993394,3,0.0006193,46,0.0094963,154,0.0317919,0.4808010,0.1372832
Census Tract 2827,2827,2349,616,0.2622393,437,0.1860366,1048,0.4461473,1,0.0004257,197,0.0838655,0,0.0000000,4,0.0017029,46,0.0195828,0.8139634,0.7083865
Census Tract 2828,2828,1691,599,0.3542283,552,0.3264341,309,0.1827321,3,0.0017741,198,0.1170905,0,0.0000000,7,0.0041396,23,0.0136014,0.6735659,0.5369604
Census Tract 2831,2831,2703,176,0.0651128,879,0.3251942,915,0.3385128,1,0.0003700,673,0.2489826,1,0.0003700,8,0.0029597,50,0.0184980,0.6748058,0.4036256
Census Tract 2832,2832,1664,130,0.0781250,669,0.4020433,607,0.3647837,5,0.0030048,196,0.1177885,0,0.0000000,2,0.0012019,55,0.0330529,0.5979567,0.4429087
Census Tract 2838,2838,3688,350,0.0949024,1047,0.2838937,1834,0.4972885,2,0.0005423,345,0.0935466,3,0.0008134,5,0.0013557,102,0.0276573,0.7161063,0.5921909
Census Tract 2909,2909,4530,127,0.0280353,32,0.0070640,4323,0.9543046,7,0.0015453,0,0.0000000,0,0.0000000,2,0.0004415,39,0.0086093,0.9929360,0.9823400
Census Tract 2912,2912,2240,40,0.0178571,4,0.0017857,2185,0.9754464,0,0.0000000,4,0.0017857,0,0.0000000,0,0.0000000,7,0.0031250,0.9982143,0.9933036
Census Tract 2916,2916,1055,737,0.6985782,64,0.0606635,227,0.2151659,5,0.0047393,17,0.0161137,0,0.0000000,0,0.0000000,5,0.0047393,0.9393365,0.9137441
Census Tract 2922,2922,2961,87,0.0293820,47,0.0158730,2780,0.9388720,2,0.0006754,6,0.0020263,0,0.0000000,10,0.0033772,29,0.0097940,0.9841270,0.9682540
Census Tract 2924,2924,2268,51,0.0224868,23,0.0101411,2178,0.9603175,1,0.0004409,3,0.0013228,0,0.0000000,0,0.0000000,12,0.0052910,0.9898589,0.9828042
Census Tract 2925,2925,4140,100,0.0241546,23,0.0055556,3961,0.9567633,8,0.0019324,3,0.0007246,1,0.0002415,6,0.0014493,38,0.0091787,0.9944444,0.9809179
Census Tract 3005,3005,3257,2815,0.8642923,74,0.0227203,349,0.1071538,3,0.0009211,6,0.0018422,0,0.0000000,5,0.0015352,5,0.0015352,0.9772797,0.9714461
Census Tract 3006,3006,3212,2485,0.7736613,119,0.0370486,587,0.1827522,7,0.0021793,7,0.0021793,0,0.0000000,3,0.0009340,4,0.0012453,0.9629514,0.9564134
Census Tract 3007,3007,5194,4930,0.9491721,93,0.0179053,145,0.0279168,8,0.0015402,4,0.0007701,0,0.0000000,5,0.0009626,9,0.0017328,0.9820947,0.9770889
Census Tract 3008,3008,4610,4416,0.9579176,55,0.0119306,99,0.0214751,1,0.0002169,4,0.0008677,0,0.0000000,24,0.0052061,11,0.0023861,0.9880694,0.9793926
Census Tract 3009,3009,5050,4876,0.9655446,81,0.0160396,83,0.0164356,6,0.0011881,2,0.0003960,0,0.0000000,1,0.0001980,1,0.0001980,0.9839604,0.9819802
Census Tract 3011,3011,2617,2369,0.9052350,117,0.0447077,120,0.0458540,0,0.0000000,3,0.0011464,1,0.0003821,1,0.0003821,6,0.0022927,0.9552923,0.9510890
Census Tract 3012,3012,4012,3642,0.9077767,122,0.0304088,215,0.0535892,9,0.0022433,4,0.0009970,0,0.0000000,6,0.0014955,14,0.0034895,0.9695912,0.9613659
Census Tract 3016,3016,4654,4557,0.9791577,71,0.0152557,11,0.0023636,2,0.0004297,0,0.0000000,0,0.0000000,9,0.0019338,4,0.0008595,0.9847443,0.9815213
Census Tract 3017.01,3017.01,4381,4323,0.9867610,31,0.0070760,14,0.0031956,0,0.0000000,5,0.0011413,0,0.0000000,7,0.0015978,1,0.0002283,0.9929240,0.9899566
Census Tract 3017.02,3017.02,4045,3936,0.9730532,94,0.0232386,4,0.0009889,1,0.0002472,1,0.0002472,0,0.0000000,8,0.0019778,1,0.0002472,0.9767614,0.9740420
Census Tract 3018.01,3018.01,4005,3887,0.9705368,86,0.0214732,23,0.0057428,1,0.0002497,3,0.0007491,0,0.0000000,3,0.0007491,2,0.0004994,0.9785268,0.9762797
Census Tract 3018.02,3018.02,3518,3403,0.9673110,56,0.0159181,52,0.0147811,0,0.0000000,4,0.0011370,0,0.0000000,2,0.0005685,1,0.0002843,0.9840819,0.9820921
Census Tract 3018.03,3018.03,5357,5236,0.9774127,92,0.0171738,14,0.0026134,2,0.0003733,0,0.0000000,0,0.0000000,8,0.0014934,5,0.0009334,0.9828262,0.9800261
Census Tract 3102,3102,1336,794,0.5943114,399,0.2986527,76,0.0568862,4,0.0029940,38,0.0284431,0,0.0000000,3,0.0022455,22,0.0164671,0.7013473,0.6511976
Census Tract 3103,3103,1697,1147,0.6758986,415,0.2445492,67,0.0394814,2,0.0011786,42,0.0247496,0,0.0000000,2,0.0011786,22,0.0129641,0.7554508,0.7153801
Census Tract 3104,3104,1332,991,0.7439940,230,0.1726727,65,0.0487988,4,0.0030030,30,0.0225225,0,0.0000000,0,0.0000000,12,0.0090090,0.8273273,0.7927928
Census Tract 3105,3105,1700,1498,0.8811765,148,0.0870588,37,0.0217647,1,0.0005882,7,0.0041176,0,0.0000000,0,0.0000000,9,0.0052941,0.9129412,0.9029412
Census Tract 3106,3106,5868,4590,0.7822086,787,0.1341172,336,0.0572597,7,0.0011929,78,0.0132924,2,0.0003408,19,0.0032379,49,0.0083504,0.8658828,0.8394683
Census Tract 3107,3107,1692,1435,0.8481087,207,0.1223404,20,0.0118203,2,0.0011820,16,0.0094563,0,0.0000000,2,0.0011820,10,0.0059102,0.8776596,0.8599291
Census Tract 3108,3108,4516,3978,0.8808680,402,0.0890168,72,0.0159433,6,0.0013286,24,0.0053144,0,0.0000000,5,0.0011072,29,0.0064216,0.9109832,0.8968113
Census Tract 3109,3109,5123,4468,0.8721452,494,0.0964279,80,0.0156159,7,0.0013664,41,0.0080031,0,0.0000000,2,0.0003904,31,0.0060511,0.9035721,0.8877611
Census Tract 3201,3201,10848,727,0.0670170,6961,0.6416851,760,0.0700590,20,0.0018437,2066,0.1904499,5,0.0004609,42,0.0038717,267,0.0246128,0.3583149,0.1370760
Census Tract 3204,3204,2518,202,0.0802224,1669,0.6628276,430,0.1707705,7,0.0027800,144,0.0571882,2,0.0007943,5,0.0019857,59,0.0234313,0.3371724,0.2509929
Census Tract 3206,3206,4256,252,0.0592105,2492,0.5855263,682,0.1602444,3,0.0007049,693,0.1628289,1,0.0002350,6,0.0014098,127,0.0298402,0.4144737,0.2194549
Census Tract 3301,3301,16735,1015,0.0606513,8520,0.5091126,4339,0.2592770,16,0.0009561,2405,0.1437108,3,0.0001793,51,0.0030475,386,0.0230654,0.4908874,0.3199283
Census Tract 3302,3302,3806,148,0.0388860,1570,0.4125066,1246,0.3273778,2,0.0005255,744,0.1954808,0,0.0000000,7,0.0018392,89,0.0233841,0.5874934,0.3662638
Census Tract 3403,3403,1786,86,0.0481523,338,0.1892497,18,0.0100784,0,0.0000000,1333,0.7463606,0,0.0000000,0,0.0000000,11,0.0061590,0.8107503,0.0582307
Census Tract 3404,3404,1900,93,0.0489474,284,0.1494737,33,0.0173684,3,0.0015789,1466,0.7715789,0,0.0000000,0,0.0000000,21,0.0110526,0.8505263,0.0663158
Census Tract 3405,3405,1544,146,0.0945596,685,0.4436528,211,0.1366580,1,0.0006477,484,0.3134715,0,0.0000000,0,0.0000000,17,0.0110104,0.5563472,0.2312176
Census Tract 3406,3406,907,1,0.0011025,1,0.0011025,899,0.9911797,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,6,0.0066152,0.9988975,0.9922822
Census Tract 3501,3501,2144,46,0.0214552,140,0.0652985,1156,0.5391791,1,0.0004664,750,0.3498134,0,0.0000000,1,0.0004664,50,0.0233209,0.9347015,0.5606343
Census Tract 3504,3504,389,12,0.0308483,0,0.0000000,373,0.9588689,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,4,0.0102828,1.0000000,0.9897172
Census Tract 3510,3510,3267,55,0.0168350,137,0.0419345,2391,0.7318641,2,0.0006122,590,0.1805938,0,0.0000000,9,0.0027548,83,0.0254056,0.9580655,0.7486991
Census Tract 3511,3511,1960,27,0.0137755,16,0.0081633,1884,0.9612245,3,0.0015306,5,0.0025510,0,0.0000000,5,0.0025510,20,0.0102041,0.9918367,0.9750000
Census Tract 3514,3514,1437,21,0.0146138,29,0.0201809,1356,0.9436326,13,0.0090466,2,0.0013918,0,0.0000000,0,0.0000000,16,0.0111343,0.9798191,0.9582463
Census Tract 3515,3515,255,3,0.0117647,33,0.1294118,197,0.7725490,1,0.0039216,20,0.0784314,0,0.0000000,0,0.0000000,1,0.0039216,0.8705882,0.7843137
Census Tract 3602,3602,1443,23,0.0159390,8,0.0055440,1390,0.9632710,1,0.0006930,3,0.0020790,2,0.0013860,2,0.0013860,14,0.0097020,0.9944560,0.9792100
Census Tract 3801,3801,1924,55,0.0285863,55,0.0285863,1763,0.9163202,2,0.0010395,5,0.0025988,0,0.0000000,0,0.0000000,44,0.0228690,0.9714137,0.9449064
Census Tract 3802,3802,1680,16,0.0095238,20,0.0119048,1591,0.9470238,9,0.0053571,3,0.0017857,0,0.0000000,3,0.0017857,38,0.0226190,0.9880952,0.9565476
Census Tract 3805,3805,752,13,0.0172872,0,0.0000000,723,0.9614362,2,0.0026596,0,0.0000000,0,0.0000000,0,0.0000000,14,0.0186170,1.0000000,0.9787234
Census Tract 3807,3807,1243,28,0.0225261,23,0.0185036,1165,0.9372486,0,0.0000000,2,0.0016090,0,0.0000000,1,0.0008045,24,0.0193081,0.9814964,0.9597747
Census Tract 3812,3812,2167,37,0.0170743,17,0.0078449,2053,0.9473927,0,0.0000000,6,0.0027688,2,0.0009229,2,0.0009229,50,0.0230734,0.9921551,0.9644670
Census Tract 3814,3814,1612,8,0.0049628,9,0.0055831,1574,0.9764268,2,0.0012407,0,0.0000000,0,0.0000000,4,0.0024814,15,0.0093052,0.9944169,0.9813896
Census Tract 3815,3815,237,14,0.0590717,2,0.0084388,217,0.9156118,0,0.0000000,0,0.0000000,0,0.0000000,0,0.0000000,4,0.0168776,0.9915612,0.9746835
Census Tract 3817,3817,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
Census Tract 3818,3818,1188,37,0.0311448,26,0.0218855,1097,0.9234007,2,0.0016835,2,0.0016835,0,0.0000000,1,0.0008418,23,0.0193603,0.9781145,0.9545455
Census Tract 3819,3819,1295,26,0.0200772,55,0.0424710,1191,0.9196911,1,0.0007722,7,0.0054054,0,0.0000000,1,0.0007722,14,0.0108108,0.9575290,0.9397683
Census Tract 3901,3901,1268,29,0.0228707,44,0.0347003,1151,0.9077287,0,0.0000000,12,0.0094637,2,0.0015773,7,0.0055205,23,0.0181388,0.9652997,0.9305994
Census Tract 3902,3902,1840,69,0.0375000,130,0.0706522,1534,0.8336957,2,0.0010870,57,0.0309783,0,0.0000000,8,0.0043478,40,0.0217391,0.9293478,0.8711957
Census Tract 3903,3903,2743,40,0.0145826,71,0.0258841,2561,0.9336493,2,0.0007291,15,0.0054685,0,0.0000000,3,0.0010937,51,0.0185928,0.9741159,0.9482319
Census Tract 3904,3904,2934,55,0.0187457,140,0.0477164,2631,0.8967280,4,0.0013633,21,0.0071575,0,0.0000000,6,0.0020450,77,0.0262440,0.9522836,0.9154738
Census Tract 3905,3905,1598,49,0.0306633,355,0.2221527,1086,0.6795995,2,0.0012516,60,0.0375469,0,0.0000000,1,0.0006258,45,0.0281602,0.7778473,0.7102628
Census Tract 3906,3906,1866,59,0.0316184,843,0.4517685,766,0.4105038,1,0.0005359,113,0.0605573,0,0.0000000,12,0.0064309,72,0.0385852,0.5482315,0.4421222
Census Tract 3907,3907,5592,241,0.0430973,1359,0.2430258,3092,0.5529328,6,0.0010730,695,0.1242847,2,0.0003577,23,0.0041130,174,0.0311159,0.7569742,0.5960300
Census Tract 4003,4003,1567,20,0.0127632,8,0.0051053,1522,0.9712827,0,0.0000000,2,0.0012763,0,0.0000000,1,0.0006382,14,0.0089343,0.9948947,0.9840459
Census Tract 4004,4004,1955,17,0.0086957,10,0.0051151,1898,0.9708440,2,0.0010230,2,0.0010230,0,0.0000000,0,0.0000000,26,0.0132992,0.9948849,0.9795396
Census Tract 4005,4005,2258,25,0.0110717,12,0.0053144,2194,0.9716563,1,0.0004429,2,0.0008857,0,0.0000000,0,0.0000000,24,0.0106289,0.9946856,0.9827281
Census Tract 4008,4008,2701,9,0.0033321,8,0.0029619,2644,0.9788967,7,0.0025916,2,0.0007405,0,0.0000000,1,0.0003702,30,0.0111070,0.9970381,0.9822288
Census Tract 4101,4101,1802,150,0.0832408,499,0.2769145,948,0.5260821,6,0.0033296,141,0.0782464,0,0.0000000,9,0.0049945,49,0.0271920,0.7230855,0.6093230
Census Tract 4102,4102,1443,120,0.0831601,679,0.4705475,318,0.2203742,0,0.0000000,268,0.1857242,0,0.0000000,8,0.0055440,50,0.0346500,0.5294525,0.3035343
Census Tract 4105,4105,2557,124,0.0484943,782,0.3058271,1369,0.5353930,5,0.0019554,190,0.0743058,0,0.0000000,5,0.0019554,82,0.0320688,0.6941729,0.5838874
Census Tract 4106,4106,2327,108,0.0464117,1164,0.5002149,625,0.2685862,4,0.0017190,318,0.1366566,0,0.0000000,6,0.0025784,102,0.0438333,0.4997851,0.3149979
Census Tract 4107,4107,2154,172,0.0798514,1161,0.5389972,436,0.2024141,2,0.0009285,276,0.1281337,0,0.0000000,13,0.0060353,94,0.0436397,0.4610028,0.2822656
Census Tract 4108,4108,2662,181,0.0679940,995,0.3737791,945,0.3549962,13,0.0048835,414,0.1555222,0,0.0000000,13,0.0048835,101,0.0379414,0.6262209,0.4229902
Census Tract 4109,4109,2838,212,0.0747005,1272,0.4482030,1033,0.3639887,3,0.0010571,212,0.0747005,1,0.0003524,5,0.0017618,100,0.0352361,0.5517970,0.4386892
Census Tract 4110,4110,3309,213,0.0643699,1635,0.4941070,997,0.3012995,1,0.0003022,346,0.1045633,1,0.0003022,9,0.0027199,107,0.0323361,0.5058930,0.3656694
Census Tract 4111,4111,2132,112,0.0525328,1448,0.6791745,114,0.0534709,0,0.0000000,373,0.1749531,0,0.0000000,12,0.0056285,73,0.0342402,0.3208255,0.1060038
Census Tract 4112,4112,1640,59,0.0359756,1105,0.6737805,117,0.0713415,2,0.0012195,283,0.1725610,0,0.0000000,5,0.0030488,69,0.0420732,0.3262195,0.1073171
Census Tract 4201,4201,1441,13,0.0090215,34,0.0235947,1371,0.9514226,1,0.0006940,0,0.0000000,0,0.0000000,5,0.0034698,17,0.0117974,0.9764053,0.9604441
Census Tract 4202,4202,1723,42,0.0243761,275,0.1596053,1275,0.7399884,4,0.0023215,84,0.0487522,0,0.0000000,4,0.0023215,39,0.0226349,0.8403947,0.7643645
Census Tract 4203,4203,2488,169,0.0679260,775,0.3114952,1160,0.4662379,3,0.0012058,302,0.1213826,0,0.0000000,3,0.0012058,76,0.0305466,0.6885048,0.5341640
Census Tract 4204,4204,1329,38,0.0285929,243,0.1828442,906,0.6817156,4,0.0030098,104,0.0782543,0,0.0000000,2,0.0015049,32,0.0240783,0.8171558,0.7103085
Census Tract 4205,4205,2624,32,0.0121951,25,0.0095274,2521,0.9607470,0,0.0000000,6,0.0022866,0,0.0000000,2,0.0007622,38,0.0144817,0.9904726,0.9729421
Census Tract 4206,4206,2219,19,0.0085624,22,0.0099144,2140,0.9643984,2,0.0009013,4,0.0018026,0,0.0000000,0,0.0000000,32,0.0144209,0.9900856,0.9729608
Census Tract 4207,4207,3261,38,0.0116529,12,0.0036799,3186,0.9770009,4,0.0012266,1,0.0003067,0,0.0000000,2,0.0006133,18,0.0055198,0.9963201,0.9886538
Census Tract 4208,4208,2213,26,0.0117488,40,0.0180750,2115,0.9557162,0,0.0000000,4,0.0018075,0,0.0000000,0,0.0000000,28,0.0126525,0.9819250,0.9674650
Census Tract 4212,4212,1380,15,0.0108696,3,0.0021739,1351,0.9789855,2,0.0014493,0,0.0000000,0,0.0000000,0,0.0000000,9,0.0065217,0.9978261,0.9898551
Census Tract 4301.01,4301.01,3689,29,0.0078612,35,0.0094877,3574,0.9688262,2,0.0005422,7,0.0018975,1,0.0002711,9,0.0024397,32,0.0086744,0.9905123,0.9766874
Census Tract 4301.02,4301.02,2963,50,0.0168748,41,0.0138373,2801,0.9453257,10,0.0033750,8,0.0027000,0,0.0000000,8,0.0027000,45,0.0151873,0.9861627,0.9622005
Census Tract 4302,4302,4680,96,0.0205128,92,0.0196581,4384,0.9367521,5,0.0010684,5,0.0010684,0,0.0000000,6,0.0012821,92,0.0196581,0.9803419,0.9572650
Census Tract 4303,4303,2336,46,0.0196918,14,0.0059932,2192,0.9383562,7,0.0029966,10,0.0042808,0,0.0000000,1,0.0004281,66,0.0282534,0.9940068,0.9580479
Census Tract 4304,4304,2892,42,0.0145228,21,0.0072614,2778,0.9605809,0,0.0000000,1,0.0003458,0,0.0000000,3,0.0010373,47,0.0162517,0.9927386,0.9751037
Census Tract 4305,4305,3604,50,0.0138735,20,0.0055494,3483,0.9664262,3,0.0008324,2,0.0005549,1,0.0002775,1,0.0002775,44,0.0122087,0.9944506,0.9802997
Census Tract 4306,4306,1665,26,0.0156156,38,0.0228228,1573,0.9447447,1,0.0006006,3,0.0018018,0,0.0000000,2,0.0012012,22,0.0132132,0.9771772,0.9603604
Census Tract 4307,4307,2210,71,0.0321267,81,0.0366516,1997,0.9036199,7,0.0031674,11,0.0049774,0,0.0000000,7,0.0031674,36,0.0162896,0.9633484,0.9357466
Census Tract 4308,4308,1763,31,0.0175837,18,0.0102099,1693,0.9602950,0,0.0000000,2,0.0011344,0,0.0000000,0,0.0000000,19,0.0107771,0.9897901,0.9778786
Census Tract 4309,4309,1814,33,0.0181918,4,0.0022051,1734,0.9558986,12,0.0066152,0,0.0000000,0,0.0000000,13,0.0071665,18,0.0099228,0.9977949,0.9740904
Census Tract 4312,4312,3078,61,0.0198181,28,0.0090968,2932,0.9525666,4,0.0012995,2,0.0006498,0,0.0000000,8,0.0025991,43,0.0139701,0.9909032,0.9723847
Census Tract 4313.01,4313.01,3545,69,0.0194640,38,0.0107193,3345,0.9435825,20,0.0056417,2,0.0005642,1,0.0002821,8,0.0022567,62,0.0174894,0.9892807,0.9630465
Census Tract 4313.02,4313.02,4166,60,0.0144023,45,0.0108017,4025,0.9661546,2,0.0004801,0,0.0000000,0,0.0000000,2,0.0004801,32,0.0076812,0.9891983,0.9805569
Census Tract 4314,4314,6418,97,0.0151137,145,0.0225927,6015,0.9372079,33,0.0051418,32,0.0049860,0,0.0000000,4,0.0006232,92,0.0143347,0.9774073,0.9523216
Census Tract 4401.01,4401.01,3746,46,0.0122798,11,0.0029365,3642,0.9722371,3,0.0008009,0,0.0000000,1,0.0002670,5,0.0013348,38,0.0101442,0.9970635,0.9845168
Census Tract 4401.02,4401.02,3127,26,0.0083147,4,0.0012792,3055,0.9769747,12,0.0038375,1,0.0003198,0,0.0000000,1,0.0003198,28,0.0089543,0.9987208,0.9852894
Census Tract 4402.01,4402.01,5060,56,0.0110672,9,0.0017787,4931,0.9745059,14,0.0027668,4,0.0007905,1,0.0001976,6,0.0011858,39,0.0077075,0.9982213,0.9855731
