Tract_name,id,total,,Hispanic or Latino,,White,,Black or African American,,American Indian and Alaska Native,,Asian,,Native Hawaiian and Other Pacific Islander,,Other Race,,Two or More Races,Non-White,Black or Hispanic
Census Tract 1605.02,1605.02,3550,2119,0.5969014,982,0.2766197,123,0.0346479,7,0.0019718,264,0.0743662,0,0.0000000,3,0.0008451,52,0.0146479,0.7233803,0.6315493
Census Tract 1606.01,1606.01,3490,1729,0.4954155,1372,0.3931232,104,0.0297994,5,0.0014327,180,0.0515759,0,0.0000000,9,0.0025788,91,0.0260745,0.6068768,0.5252149
Census Tract 1606.02,1606.02,3589,1655,0.4611312,1431,0.3987183,138,0.0384508,11,0.0030649,260,0.0724436,1,0.0002786,13,0.0036222,80,0.0222903,0.6012817,0.4995821
Census Tract 1607,1607,5893,2934,0.4978788,2107,0.3575428,147,0.0249448,9,0.0015272,551,0.0935008,2,0.0003394,44,0.0074665,99,0.0167996,0.6424572,0.5228237
Census Tract 1608,1608,5148,2973,0.5775058,1607,0.3121601,118,0.0229215,8,0.0015540,333,0.0646853,0,0.0000000,12,0.0023310,97,0.0188423,0.6878399,0.6004274
Census Tract 1609,1609,2405,755,0.3139293,1394,0.5796258,73,0.0303534,16,0.0066528,132,0.0548857,0,0.0000000,6,0.0024948,29,0.0120582,0.4203742,0.3442827
Census Tract 1610,1610,1707,414,0.2425308,1159,0.6789690,52,0.0304628,2,0.0011716,47,0.0275337,0,0.0000000,2,0.0011716,31,0.0181605,0.3210310,0.2729936
Census Tract 1611,1611,1861,301,0.1617410,1325,0.7119828,78,0.0419130,14,0.0075228,106,0.0569586,0,0.0000000,1,0.0005373,36,0.0193444,0.2880172,0.2036539
Census Tract 1612,1612,2930,1878,0.6409556,776,0.2648464,30,0.0102389,7,0.0023891,197,0.0672355,1,0.0003413,1,0.0003413,40,0.0136519,0.7351536,0.6511945
Census Tract 1613,1613,4117,2372,0.5761477,1440,0.3497692,112,0.0272043,7,0.0017003,127,0.0308477,0,0.0000000,7,0.0017003,52,0.0126306,0.6502308,0.6033520
Census Tract 1701,1701,1752,176,0.1004566,1429,0.8156393,59,0.0336758,1,0.0005708,78,0.0445205,0,0.0000000,0,0.0000000,9,0.0051370,0.1843607,0.1341324
Census Tract 1702,1702,3892,1289,0.3311922,2354,0.6048304,18,0.0046249,11,0.0028263,155,0.0398253,1,0.0002569,12,0.0030832,52,0.0133607,0.3951696,0.3358171
Census Tract 1703,1703,5129,1343,0.2618444,3492,0.6808345,36,0.0070189,4,0.0007799,209,0.0407487,0,0.0000000,9,0.0017547,36,0.0070189,0.3191655,0.2688633
Census Tract 1704,1704,3870,740,0.1912145,2931,0.7573643,28,0.0072351,2,0.0005168,137,0.0354005,0,0.0000000,0,0.0000000,32,0.0082687,0.2426357,0.1984496
Census Tract 1705,1705,4980,958,0.1923695,3820,0.7670683,26,0.0052209,9,0.0018072,109,0.0218876,1,0.0002008,13,0.0026104,44,0.0088353,0.2329317,0.1975904
Census Tract 1706,1706,2498,360,0.1441153,2013,0.8058447,4,0.0016013,1,0.0004003,99,0.0396317,0,0.0000000,3,0.0012010,18,0.0072058,0.1941553,0.1457166
Census Tract 1707,1707,2980,524,0.1758389,2335,0.7835570,6,0.0020134,2,0.0006711,76,0.0255034,0,0.0000000,0,0.0000000,37,0.0124161,0.2164430,0.1778523
Census Tract 1708,1708,3721,800,0.2149960,2721,0.7312550,25,0.0067186,0,0.0000000,137,0.0368181,0,0.0000000,3,0.0008062,35,0.0094061,0.2687450,0.2217146
Census Tract 1709,1709,1713,494,0.2883830,1097,0.6403970,18,0.0105079,1,0.0005838,70,0.0408640,0,0.0000000,1,0.0005838,32,0.0186807,0.3596030,0.2988908
Census Tract 1710,1710,7287,1772,0.2431728,5034,0.6908193,66,0.0090572,9,0.0012351,310,0.0425415,2,0.0002745,5,0.0006862,89,0.0122135,0.3091807,0.2522300
Census Tract 1711,1711,4110,1541,0.3749392,2286,0.5562044,22,0.0053528,0,0.0000000,207,0.0503650,2,0.0004866,2,0.0004866,50,0.0121655,0.4437956,0.3802920
Census Tract 1801,1801,6156,2670,0.4337232,3106,0.5045484,94,0.0152697,7,0.0011371,221,0.0358999,0,0.0000000,11,0.0017869,47,0.0076348,0.4954516,0.4489929
Census Tract 1901,1901,2488,1964,0.7893891,397,0.1595659,44,0.0176849,4,0.0016077,53,0.0213023,0,0.0000000,8,0.0032154,18,0.0072347,0.8404341,0.8070740
Census Tract 1902,1902,5853,4597,0.7854092,992,0.1694857,80,0.0136682,7,0.0011960,143,0.0244319,0,0.0000000,11,0.0018794,23,0.0039296,0.8305143,0.7990774
Census Tract 1903,1903,5794,3665,0.6325509,1892,0.3265447,60,0.0103555,3,0.0005178,140,0.0241629,0,0.0000000,14,0.0024163,20,0.0034518,0.6734553,0.6429065
Census Tract 1904.01,1904.01,4257,2664,0.6257928,1236,0.2903453,61,0.0143293,2,0.0004698,236,0.0554381,0,0.0000000,2,0.0004698,56,0.0131548,0.7096547,0.6401222
Census Tract 1904.02,1904.02,5458,3666,0.6716746,1480,0.2711616,103,0.0188714,3,0.0005497,159,0.0291316,0,0.0000000,12,0.0021986,35,0.0064126,0.7288384,0.6905460
Census Tract 1906.01,1906.01,4545,3717,0.8178218,561,0.1234323,126,0.0277228,6,0.0013201,94,0.0206821,0,0.0000000,1,0.0002200,40,0.0088009,0.8765677,0.8455446
Census Tract 1906.02,1906.02,5516,4388,0.7955040,813,0.1473894,203,0.0368020,14,0.0025381,66,0.0119652,1,0.0001813,10,0.0018129,21,0.0038071,0.8526106,0.8323060
Census Tract 1907.01,1907.01,2955,2436,0.8243655,385,0.1302876,56,0.0189509,4,0.0013536,48,0.0162437,0,0.0000000,7,0.0023689,19,0.0064298,0.8697124,0.8433164
Census Tract 1907.02,1907.02,4869,4065,0.8348737,610,0.1252824,126,0.0258780,6,0.0012323,23,0.0047238,1,0.0002054,13,0.0026700,25,0.0051345,0.8747176,0.8607517
Census Tract 1908,1908,6632,5586,0.8422799,769,0.1159530,160,0.0241255,6,0.0009047,53,0.0079916,1,0.0001508,22,0.0033172,35,0.0052774,0.8840470,0.8664053
Census Tract 1909,1909,2040,1677,0.8220588,252,0.1235294,57,0.0279412,1,0.0004902,37,0.0181373,0,0.0000000,5,0.0024510,11,0.0053922,0.8764706,0.8500000
Census Tract 1910,1910,2559,2300,0.8987886,158,0.0617429,79,0.0308714,5,0.0019539,8,0.0031262,0,0.0000000,1,0.0003908,8,0.0031262,0.9382571,0.9296600
Census Tract 1911,1911,7414,6526,0.8802266,420,0.0566496,350,0.0472080,2,0.0002698,65,0.0087672,4,0.0005395,24,0.0032371,23,0.0031022,0.9433504,0.9274346
Census Tract 1912,1912,3853,3591,0.9320010,157,0.0407475,85,0.0220607,3,0.0007786,3,0.0007786,0,0.0000000,5,0.0012977,9,0.0023358,0.9592525,0.9540618
Census Tract 1913.01,1913.01,5397,4509,0.8354641,266,0.0492866,477,0.0883824,1,0.0001853,123,0.0227904,1,0.0001853,2,0.0003706,18,0.0033352,0.9507134,0.9238466
Census Tract 1913.02,1913.02,5034,4358,0.8657132,335,0.0665475,226,0.0448947,4,0.0007946,72,0.0143027,0,0.0000000,10,0.0019865,29,0.0057608,0.9334525,0.9106079
Census Tract 2001,2001,4354,3334,0.7657327,739,0.1697290,91,0.0209003,7,0.0016077,153,0.0351401,0,0.0000000,12,0.0027561,18,0.0041341,0.8302710,0.7866330
Census Tract 2002,2002,5427,4700,0.8660402,457,0.0842086,152,0.0280081,3,0.0005528,70,0.0128985,0,0.0000000,12,0.0022112,33,0.0060807,0.9157914,0.8940483
Census Tract 2003,2003,2209,1956,0.8854685,168,0.0760525,60,0.0271616,1,0.0004527,11,0.0049796,1,0.0004527,0,0.0000000,12,0.0054323,0.9239475,0.9126301
Census Tract 2004.01,2004.01,3603,3219,0.8934221,202,0.0560644,140,0.0388565,1,0.0002775,19,0.0052734,0,0.0000000,6,0.0016653,16,0.0044407,0.9439356,0.9322787
